0
10 Flachdrucke nach Orig.-Lithographien
10 Lichtdrucke nach Zeichngn u. Schnitten
10 Orig.Farb.Holzschn.
10 Originalschnitte . Linolschnitte
10 Originalschnitte [teils zweifarb.] Linolschnitte
10 Reproduktionen nach Lithographien. Autotypien
10 [zehn] Orignial-Holzschnitte
10 farb. Textur-Graphiken u. 2 Linolschnitten von Artur Märchen
10 mehrfarb. Autotypien
12 Farbenlichtdrucke mit e. Einf.
12 Farbtaf. Mehrfarb. Offsetdruck
12 Gemälde-Wiedergaben schöner Landschaften in Vierfarben-Buchdruck
12 Holzschnitte. Autotypien
12 Holzschnitte. Lichtdruck
12 Holzschnitte. Lichtdrucke
12 Holzstiche. Strichätzungen
12 Lichtdrucke nach Zeichngn. Mit e. Einf. U. Beschreibg. D. Bilder v. Vera-Maria Ruthenberg
12 Lichtdrucke u. 1 mehrfarb. Autotypie
12 Lichtdrucke und 1 mehrfarb. Autotypie
"12 Lichtdrucke, z.T. handkol."
12 Mehrfarbenbuchdrucke
12 Orig.-Metallographien aus Nordfinnland
12 Orig.-Radierungen
"12 Reproduktionen nach Orig.-Zeichnungen, -Radierungen, -Holzschnitten u. -Lithographien"
12 Steinzeichn. Zu G. R. Lessings dramaz. Gedicht
12 Strichätzungen u. Autotypien
12 farb. Aquarellstudien u. 1 Alpenblumenkomposition. Mehrfarbendruck
12 mehrfarb. Autotypien
12 vierfarb. Kunstblätter
13 mehrfarb. Autotypie
13 mehrfarb. Autotypien
14 originalgrosse Kunstdrucke von Aquarellen
16 Autotypien
16 Gemälde-Wiedergaben schöner Landschaften in Vierfarben-Buchdruck
16 Lichtdrucke
16 Strichätzungen
16 Wiedergaben in Kupfertiefdruck nach Orig.-Lithographien
16 mehrfarb. Autotypien
16 mehrfarb. Offset-Tafeln nach Aquarellen
16 vierfarb. Kunstblätter. Mehrfarb. Autotypien
17 Mehrfarb. Autotypien
18 Autotypien
19 Holzschnitte aus d. schwäb. Holzschnittstube V[iktor] Himmel
2 Autotypien
2 Orig.-Radierungen
2 Original-Radierungen
2 einfarb. Lichtdruck nach Kupferstichen
24 mehrfarb. Offsetdrucke
3 Lithographien und 3 Radierungen
3 Orig.-Radierungen
4 Tiefdrucke u. 2 Autotypien
4 einfarb. Lichtdr. Nach Kupferstichen von 1729
5 Kaltnadelradierungen
5 Lithographien zu d. Erzählg v. Franz Kafka
5 Orig.-Farbholzschnitte
5 Orig.-Linolschnitte
5 Zinkographien
6 Orig.-Holzschnitte
6 Orig.-Radierungen
"6 Originalhandkolorits. Offsetdrucke, handkol."
6 Originalschnitte. Linolschnitt
6 Plastiken u. 6 Zeichnungen. Lichtdrucke
"6 Radierungen zu Ludwig Zoepf ""Goldfinger"""
6 einfarb. Lichtdr. Nach Kupferstichen um 1764
6 mehrfarb. Wiedergaben. Autotypien
6 mehrfarb. Wiedergaben. Mehrfarb. Autotypien
6. Schriftblatt mit Orig.-Graphik
7 Orig.-Radierungen nach Christian Morgenstern
"7 [Farb]holzschnitte [zu d. Märchen ""Die Nachtigall"" v. Hans Christian Andersen mit d. vollst. Text]"
7 farb. Wiedergaben seiner Werke
7 mehrfarb. Orig.-Steinzeichnungen
7x7 Originalholzschnitte
8 Faks.-Repr. In farb. Photochromverfahren
8 Farben-Faks.-Lichtdruck
8 Gemäldewiedergaben. Mehrfarb. Autotypien
8 Lichtdrucke nach Orig.-Handzeichnungen
8 Lichtdrucke nach Orig.-Rad. V. Bernardo Belotto detto Canaletto
8 Offsetdrucke nach Papierschnitten. Privatdruck
8 Offsetdrucke nach papierschnitten. Privatdruck
8 Orig.-Radierungen
8 Orig.-Schablithografien zu d. Roman von Michail Bulgakow
8 Reproduktionen im Handlithographie [von Ottomar Starke]
8 Zeichnungen aus d. Dürerzeit. Offsetdruck
8 Zeichnungen. Lichtdruck
9 Gemäldewiedergaben. Mehrfarbdrucke
"9 farb. Steindrucke, einschließlich d. Außenblattes d. Mappe"
Abzug vom Originalstock
Achtfarb. Offsetdruck
Achtfarben-Offsetdruck
Altdeutsche Holzschnitte
Aquatinta-Radierung
Ausschnitt aus d. Karton. Tiefdruck
Autotypie
Autotypie (Blaudruck)
Autotypie (Braundruck)
Autotypie nach d. Hanfstaengl-Druck hergestellt
Autotypie nach e. Holzschnitt
Autotypie nach e. Photographie
Autotypie nach e. Scherenschnitt
Autotypie nach e. Schnitzwerk
Autotypie nach e. handgeschr. Gedicht von Marx
Autotypie nach einem Kupferstich
Autotypie nach einer Photographie
Autotypie nach einer Radierung
Autotypie nach einer Steinplastik
Autotypie nach einer Zeichnung
"Autotypie, nach der Hanfstaengl-Druck hergestellt"
Autotypien
Autotypien nach Aufnahmen T. 1.
Autotypien u. Lichtdrucke
Autotypien u. Offsetdrucke
Autotypien und Lichtdrucke
Autotypien und Offsetdrucke
"Autotypien, z.T. mehrfarb."
Autotypien. Bl. 13-20: farb. Offsetdruck
Autoypie
Autoypie nach e. Scherenschnitt
Bleischnitt
Bleistiftzeichnung. Lichtdruck
Bromsilberdr. Nach Fotografien
Bromsilberdruck
Buchdruck
"Buchdruck, Offsetdruck, Lichtdruck, z.T. getönt"
Buchdruck. Strichätzung
Dreifarb. Autotypie
Dreifarbendruck
Ein- u. Mehrfarb. Autotypien
Ein- u. Mehrfarb. Buchdruck
Ein- u. Mehrfarb. Offsetdruck
Ein- u. mehrfarb. Autotypien
Ein- u. mehrfarb. Autotypien u. ein.- u. mehrfarb. Offsetdrucke
Ein- u. mehrfarb. Lichtdruck
Ein- u. mehrfarb. Offsetdruck
Ein- und mehrfarb. Autotypie
Ein- und mehrfarb. Offsetdruck
Einfarb Offsetdruck
Einfarb. Algraphie
Einfarb. Autotyien
Einfarb. Autotypie
Einfarb. Autotypien
Einfarb. Bromsilberdruck
Einfarb. Bromsilberdruck u. mehrfarb. Offsetdruck
Einfarb. Handpressenkupferdruck
Einfarb. Lichtdr.
Einfarb. Lichtdruck
Einfarb. Lichtdruck nach Aquatinta
Einfarb. Lichtdruck nach e. Kupferstich von 1639
Einfarb. Lichtdruck nach einem Stahlstich um 1850
"Einfarb. Lichtdruck nach einer Radierung von [Franz Xaver] Jungwierth, 1772"
Einfarb. Lithographie
Einfarb. Offsetdruck
"Einfarb. Offsetdruck nach Kupferstichen, handkoloriert"
Einfarb. Offsetdruck nach e. Kupferstich
Einfarb. Offsetdruck nach e. Lithografie von Jos. Trentsensky gestaltet u. handkoloriert
Einfarb. Offsetdruck nach einem Kupferstich
Einfarb. Offsetdruck nach einem Stich gestaltet und handkoloriert
Einfarb. Offsetdruck nach einem Stich von A. Bouwer gestaltet und handkoloriert von C. Allardt
Einfarb. Offsetdruck nach einem Stich von J. J. van Vliet gestaltet und handkoloriert
Einfarb. Offsetdruck nach einem Stich von Lucas von Leyden gestaltet und handkoloriert
Einfarb. Offsetdruck nach einer Radierung
"Einfarb. Offsetdruck, handkoloriert"
Einfarb. Orig.-Linolschnitt
Einfarb. Stichätzung
Einfarb. Strichätzung
Einfarb. Strichätzung nach einem Kupferstich
Einfarb. Strichätzungen nach e. Kupferstich
Einfarb. U. mehrfarb. Lichtdruck
Einfarb. U. mehrfarb. Offsetdruck
Facs.-Gravüre
"Faks. Nach d. Orig. in d. Zentralbibl. Zürich, Hrsg. V. d. Schweizer. Bibliophilen-Ges. Farb. Offsetdruck]"
Faks.-Buchdruck
Faks.-Tiefdruck nach einer Bleistiftzeichnung
Faksimile-Lichtdruck
Faksimile-Lichtdruck. Privatdruck
Faksimile-Lichtdrucke d. Meisterschule f. d. graph. Gewerbe zu Leipzig
Farb. Autotypie
Farb. Faks.-Offsetdruck nach einem Farbenholzschnitt
Farb. Faks.-Tiefdruck nach e. Silberstiftzeichnung
Farb. Holzschnitt
Farb. Kupfertiefdruck
Farb. Kupfertiefdruck nach e. Ölgemälde
Farb. Lichtdruck
Farb. Litographie
Farb. Offsetdr. Nach e. Holzschnitt von Hans Schäuffelin gestaltet u. handkoloriert
